pipe_genesymbol,score
A1BG,0.2629888508897541
A1CF,0.2327041219849422
A2M,0.17771020158467282
A4GALT,0.17145254433243934
AAAS,0.09269139627247762
AACS,0.06448822023192774
AADAC,0.24210297149225127
AADAT,0.12279080955016274
AAGAB,0.06971912389449582
AAK1,0.14080004199561597
AAMDC,0.06715537157969588
AAMP,0.07732627377823728
AANAT,0.18585330724778978
AAR2,0.08958647258604907
AARS1,0.07344447342346441
AARS2,0.0689911042205145
AARSD1,0.07882210804420052
AASDH,0.07638251175356298
AASDHPPT,0.06623575101157972
AASS,0.10278617998255017
AATK,0.07479447041761557
ABAT,0.06725671230487021
ABCA1,0.08350268212788975
ABCA13,0.2702524484614841
ABCA2,0.08206920701007009
ABCA3,0.06067708037031163
ABCA4,0.12744755359579626
ABCA5,0.06544857894151249
ABCA6,0.13303285917489444
ABCA7,0.11921246240387925
ABCA9,0.17175004230643393
ABCB1,0.09498886918830725
ABCB10,0.08000974915814621
ABCB11,0.28049297767474046
ABCB4,0.11702594067195712
ABCB6,0.10864333452445993
ABCB7,0.08029238289771226
ABCB8,0.06085722544220242
ABCB9,0.0617893636957633
ABCC1,0.1268138826142252
ABCC10,0.08818048298028723
ABCC2,0.22017735513264916
ABCC3,0.22671355600115567
ABCC4,0.10566074502690431
ABCC5,0.0796286731541851
ABCC6,0.21385909113570167
ABCC8,0.10727458608252118
ABCD1,0.08222789420629811
ABCD3,0.06832676150279339
ABCD4,0.08113078905937769
ABCE1,0.08694892667350743
ABCF1,0.10214183494524859
ABCF2,0.07726884226390536
ABCF3,0.07775862796585592
ABCG1,0.08265244132344951
ABCG2,0.22262366319606092
ABCG5,0.23277978658458157
ABCG8,0.23901566432115431
ABHD1,0.0977822994022971
ABHD10,0.07096494943558111
ABHD11,0.06714316764618194
ABHD12,0.0678670976409006
ABHD12B,0.2009256507464722
ABHD13,0.07765026156969451
ABHD14A,0.06195511381705169
ABHD14B,0.15841093198428008
ABHD15,0.13503608455706453
ABHD16A,0.06688749863129818
ABHD17A,0.09939973749404189
ABHD17B,0.07984806151875665
ABHD17C,0.07209790216815444
ABHD2,0.12387350081399082
ABHD3,0.10129009512786982
ABHD4,0.09300242765102464
ABHD5,0.09218983392866047
ABHD6,0.07212105382016795
ABHD8,0.0593173177149587
ABI1,0.16651925464115377
ABI2,0.06686679706229302
ABI3,0.2094973997116147
ABI3BP,0.10026630985155534
ABL1,0.0815629625896869
ABL2,0.07756666754268936
ABLIM1,0.21265275048057275
ABLIM2,0.07904383172369861
ABLIM3,0.13039819673023256
ABO,0.2157415894973323
ABR,0.13462865278819017
ABRACL,0.19666642571062282
ABT1,0.0887726570672635
ABTB1,0.08004791128708189
ABTB2,0.11433913319837459
ACAA1,0.13576749518905493
ACAA2,0.18382147459473985
ACACB,0.11337904743864366
ACAD10,0.09644378728667681
ACAD11,0.08091772325437875
ACAD8,0.09439944713043234
ACAD9,0.06826330739631148
ACADM,0.10477665024195047
ACADS,0.16805076965185448
ACADSB,0.07813510238971214
ACADVL,0.19447293995955556
ACAP1,0.34972854473586307
ACAP2,0.13734001468542986
ACAP3,0.06556675685404009
ACAT1,0.07596294555927638
ACAT2,0.08416260711692557
ACBD3,0.09278355629378625
ACBD4,0.07228379313933501
ACBD5,0.09284589156698278
ACBD6,0.10508151694169217
ACCS,0.1159011766290682
ACD,0.06781749391613952
ACE,0.0839649955841439
ACE2,0.20198288909860962
ACER3,0.09354564018128131
ACHE,0.07541736153837764
ACIN1,0.2009067601761718
ACKR2,0.12166557515694315
ACKR3,0.08485095826454891
ACKR4,0.14417514670967088
ACLY,0.11434045178088113
ACO1,0.06511546613046108
ACO2,0.12030088355625444
ACOT1,0.13236233762555874
ACOT11,0.10171540495449939
ACOT12,0.24438027352510877
ACOT13,0.07160391896386137
ACOT2,0.07737757164713677
ACOT4,0.10660972546028205
ACOT7,0.07006420188150253
ACOT8,0.06725463955807652
ACOT9,0.09095253861944934
ACOX1,0.08730429975417839
ACOX2,0.20961745714930452
ACOX3,0.08100172499404122
ACOXL,0.26318108647042354
ACP1,0.17630949743242738
ACP2,0.06562185687963919
ACP3,0.26625269896459336
ACP5,0.14113426141156954
ACP6,0.0873378119211618
ACR,0.10484356393263038
ACRBP,0.08641903507275102
ACSBG1,0.09328345060393038
ACSF2,0.20409132398430987
ACSF3,0.06947532260913679
ACSL1,0.08579703879012861
ACSL3,0.06916381013386667
ACSL4,0.07549624916838346
ACSL5,0.12206353238147476
ACSL6,0.0623469064247768
ACSM1,0.21860319380469911
ACSM3,0.10369628050565519
ACSS1,0.09824098555491947
ACSS2,0.0789465312508113
ACSS3,0.2064685116613036
ACTA1,0.11756735120158379
ACTA2,0.08903229120227824
ACTB,0.27749045887049584
ACTG1,0.2972018895062586
ACTG2,0.15853010485344154
ACTL6A,0.09488617344100499
ACTN1,0.10467308152198797
ACTR10,0.07129549778223501
ACTR1A,0.11665745363098966
ACTR1B,0.22853107723986166
ACTR2,0.2744587670267245
ACTR3,0.21694239651687788
ACTR3B,0.06462694981426693
ACTR3C,0.07918451226702236
ACTR5,0.08162099078693674
ACTR8,0.07690771039815075
ACTRT3,0.10321313409562778
ACVR1,0.0891664546559914
ACVR1B,0.07179618582810002
ACVR1C,0.08464184213690458
ACVR2A,0.0672436769790747
ACVR2B,0.07678537692865385
ACVRL1,0.10499194344596653
ACY1,0.07287642513510556
ACY3,0.12301853775585493
ACYP2,0.0774273607816649
ADA,0.2251731721733377
ADAL,0.06448495467634383
ADAM10,0.15767176977129574
ADAM12,0.1291048467171893
ADAM15,0.08580286945545317
ADAM17,0.11747959824100508
ADAM20,0.26341160501584665
ADAM22,0.08301926606175034
ADAM23,0.12326576935616827
ADAM28,0.2977384531252174
ADAM8,0.18845274393708156
ADAMDEC1,0.28745714625271995
ADAMTS1,0.14853354343419095
ADAMTS10,0.12624484047641044
ADAMTS13,0.09958065730358746
ADAMTS14,0.14387393365369294
ADAMTS15,0.18710940287038694
ADAMTS17,0.1016102863743066
ADAMTS19,0.2664675211897219
ADAMTS6,0.16168741142434415
ADAMTS9,0.11252070650968365
ADAMTSL1,0.14850764064708494
ADAMTSL2,0.1408346562629406
ADAMTSL4,0.21630531248604087
ADAMTSL5,0.2066373981746651
ADAP1,0.08216656955519962
ADAP2,0.1380992143538365
ADAR,0.26299827154541283
ADARB1,0.15217437944287496
ADARB2,0.10180455168276784
ADAT1,0.08967878760819563
ADAT2,0.12018625341663282
ADAT3,0.1048465962916622
ADCK1,0.06409221952883695
ADCK2,0.06653169138597657
ADCK5,0.0694466996168961
ADCY1,0.08018524646960604
ADCY10,0.11292933505942213
ADCY2,0.07624473081987368
ADCY3,0.07551566675576817
ADCY4,0.21385426161053078
ADCY5,0.07078201223877191
ADCY6,0.06365611043683277
ADCY7,0.3613577928658613
ADCY9,0.07066980216731868
ADD1,0.20756747632809186
ADD3,0.2582384382955231
ADGB,0.187078448578372
ADGRA2,0.1488051327117483
ADGRA3,0.0675648174340663
ADGRB1,0.11510239594443378
ADGRB2,0.07302142492473426
ADGRD1,0.149190890987212
ADGRE5,0.2747349761708319
ADGRF1,0.2441768564566901
ADGRF3,0.2280714807165912
ADGRF4,0.16358774913728127
ADGRF5,0.09512014002321477
ADGRG1,0.0961850343996794
ADGRG2,0.1675448288761593
ADGRG4,0.24491286241897398
ADGRG5,0.2522296847168035
ADGRG6,0.1304257479730003
ADGRG7,0.23632359970538974
ADGRL1,0.06385333593938892
ADGRL2,0.07273034149413217
ADGRV1,0.14874043848059798
ADH1B,0.26322490440246454
ADH1C,0.22011714802051965
ADH4,0.23507648125430033
ADH5,0.09202744291955746
ADHFE1,0.09768176106528698
ADI1,0.12959167493567286
ADIPOR1,0.21246631568077867
ADIPOR2,0.07315235170364087
ADK,0.12229056218856638
ADM,0.19908965667751075
ADM2,0.23107592201893987
ADNP,0.14787031553037194
ADNP2,0.07449599285278896
ADO,0.06254395735138904
ADORA1,0.1171985771319914
ADORA2A,0.252107985185086
ADORA2B,0.19814610370919047
ADPGK,0.19889472672429398
ADPRH,0.12354554290470673
ADPRM,0.07624743515856468
ADRA2A,0.0736659286619848
ADRB1,0.08354907783481053
ADRB2,0.1706587931285355
ADRM1,0.1335414583180325
ADSL,0.14960822751620514
ADSS1,0.07086619462730291
ADSS2,0.09092908434056426
ADTRP,0.21397045389963834
AEBP2,0.07979424577328609
AEN,0.08790326165257237
AFAP1,0.06491603149142076
AFAP1L1,0.125288874196405
AFAP1L2,0.1832979544248351
AFF1,0.2038438640785256
AFF2,0.13663341840647047
AFF3,0.13081454079851404
AFF4,0.12653639033830985
AFG3L2,0.07374344071678944
AFMID,0.1290847580245425
AFP,0.23986782948322855
AFTPH,0.1575355469990121
AGA,0.07942318224346788
AGAP1,0.0628382687423801
AGAP2,0.09556524385830079
AGAP3,0.0693233752287775
AGBL2,0.1898256127101923
AGBL3,0.07335981881585196
AGBL4,0.137938870096898
AGBL5,0.08264958142537994
AGER,0.2169970648429405
AGFG1,0.1304751821961333
AGFG2,0.06561624444431274
AGGF1,0.07229894640035756
AGK,0.09302203957148504
AGL,0.08044600162831692
AGMAT,0.21231020403274056
AGMO,0.1491672125291826
AGO1,0.08442857221067723
AGO2,0.15508251632560735
AGO3,0.1043157429725993
AGO4,0.11276799482834479
AGPAT1,0.10991390737238133
AGPAT2,0.13064365152879953
AGPAT3,0.09298177732013502
AGPAT4,0.1346664415493231
AGPAT5,0.07090119347353657
AGPS,0.07007302635102178
AGR2,0.23299152726534558
AGR3,0.23407413284792747
AGRN,0.06407967611648839
AGT,0.08848540695946024
AGTPBP1,0.1285534942531703
AGTR1,0.27070041300955405
AGTRAP,0.14015434126497467
AGXT,0.23576048024507834
AGXT2,0.2307511332449022
AHCTF1,0.08669715280539511
AHCY,0.09751392754290712
AHCYL1,0.1389436659849509
AHCYL2,0.07753679307183309
AHDC1,0.06033532598593745
AHNAK,0.27526791011259133
AHR,0.14150300855953457
AHRR,0.11406801843050902
AHSA1,0.12213666652933862
AICDA,0.24473131779559804
AIDA,0.09619469964995445
AIF1,0.17936766298896747
AIF1L,0.12230535295975083
AIFM1,0.08178725463902962
AIFM2,0.08794811147017072
AIFM3,0.07858792882988286
AIG1,0.09157133431565521
AIM2,0.17461162680124034
AIMP1,0.1426067690493433
AIMP2,0.08978950390501632
AIP,0.18993766147790225
AIPL1,0.27220097001856514
AIRE,0.15298727072005922
AJUBA,0.19131032024969186
AK1,0.06511264489775281
AK2,0.13635563259343556
AK3,0.09185301953558449
AK4,0.06810077417368976
AK5,0.1270530683250942
AK7,0.12762214866452387
AK8,0.13285409674260631
AK9,0.11413348979783465
AKAP1,0.07471627737732843
AKAP10,0.08819978463848328
AKAP11,0.12061746030589601
AKAP13,0.25168745543494464
AKAP14,0.17646953227416637
AKAP3,0.12228834106329059
AKAP5,0.08019807714932167
AKAP6,0.07477594509239845
AKAP7,0.06733236361106122
AKAP8,0.11627642542080241
AKAP8L,0.08359553399425425
AKAP9,0.10823146389206084
AKIP1,0.08965013844819006
AKIRIN1,0.19801984651742965
AKIRIN2,0.13282022893315035
AKNA,0.3790856168863609
AKNAD1,0.14511935354038566
AKR1A1,0.10634733739376337
AKR1B1,0.18032584404003155
AKR1B10,0.10693579187811501
AKR1E2,0.10020152763030536
AKT1,0.09842422252434911
AKT1S1,0.06937461501995221
AKT2,0.10344430473770937
AKT3,0.20086984108932718
AKTIP,0.06939624455608658
ALAD,0.07191875081379152
ALAS1,0.09327724013661379
ALCAM,0.1003717239069706
ALDH16A1,0.08334469086300753
ALDH18A1,0.0690051412398246
ALDH1A1,0.09037290217184879
ALDH1A2,0.12901437544961494
ALDH1A3,0.16943322605478964
ALDH1B1,0.07214823328636581
ALDH1L1,0.07560534556022337
ALDH1L2,0.15360465689287262
ALDH2,0.09342945255720059
ALDH3A1,0.21369728518285233
ALDH3A2,0.0812551577310068
ALDH3B1,0.15487961542550668
ALDH3B2,0.17072285922880018
ALDH4A1,0.07633871161034596
ALDH5A1,0.06205037229482334
ALDH6A1,0.06536782352594493
ALDH7A1,0.059088999714051404
ALDH8A1,0.13864339691992544
ALDH9A1,0.12418827076503665
ALDOA,0.24652439581739244
ALDOB,0.12190245181007014
ALDOC,0.07114873169814394
ALG1,0.059939822397857494
ALG10,0.09460927229221328
ALG10B,0.09103031845229649
ALG11,0.07979974216612
ALG12,0.07465782308406782
ALG13,0.09778652959172004
ALG14,0.07699734769982117
ALG1L2,0.0808536245459205
ALG2,0.07219176234716132
ALG3,0.11086991613160378
ALG5,0.07481416038433245
ALG6,0.08077658575203386
ALG8,0.11275421663366679
ALG9,0.06568127356127593
ALKBH1,0.06601802060927124
ALKBH2,0.07358724977705576
ALKBH3,0.07505062689885691
ALKBH4,0.0709941282374634
ALKBH5,0.09929510659466219
ALKBH6,0.0710247060906061
ALKBH7,0.09860995914234758
ALKBH8,0.07410187862269974
ALMS1,0.10184384550767066
ALOX12B,0.14877094389833334
ALOX15B,0.14058292063786662
ALOX5,0.3150715244264471
ALOX5AP,0.2470170369386592
ALPG,0.28046730149486354
ALPI,0.23617497096740636
ALPK1,0.1317125074961474
ALPK2,0.2261291026589272
ALPK3,0.2221088484763363
ALS2,0.09094561470076883
ALS2CL,0.21002414965816008
ALYREF,0.08714020541833992
AMACR,0.08108284997615631
AMBP,0.2302881788108195
AMBRA1,0.09611040475023185
AMD1,0.17525637481155595
AMDHD1,0.21596716506957492
AMDHD2,0.0659050734834119
AMER1,0.07840289773581167
AMER3,0.13480363994708947
AMFR,0.0942190475455454
AMH,0.20274867364565458
AMIGO1,0.07605363592097764
AMIGO2,0.1312618633209025
AMIGO3,0.12080955463444595
AMMECR1,0.11612467719683904
AMMECR1L,0.08230076607245464
AMN,0.08215749848468366
AMN1,0.06844560708727412
AMOT,0.08410718371006833
AMOTL1,0.11575663526556959
AMOTL2,0.07613166443121738
AMPD2,0.11362481978339976
AMPD3,0.10726909961096895
AMT,0.07270849390730752
AMZ2,0.16015640767294148
ANAPC1,0.0802747365265011
ANAPC10,0.06566220640504081
ANAPC11,0.15960789517411042
ANAPC13,0.07822061902940126
ANAPC15,0.17500269459005668
ANAPC16,0.15915403897994368
ANAPC2,0.06357195713843666
ANAPC4,0.09461676270235991
ANAPC5,0.18733841025271047
ANAPC7,0.083722103885374
ANG,0.2090505688932257
ANGEL1,0.08762037780611971
ANGEL2,0.07792140306135309
ANGPT1,0.14161504171662043
ANGPT2,0.20728000005323838
ANGPTL1,0.2648590059291838
ANGPTL4,0.11731553871271833
ANGPTL6,0.09459938978552139
ANK1,0.10348521021428816
ANK2,0.073724289510469
ANKAR,0.2147525578142267
ANKDD1A,0.26757359496689614
ANKDD1B,0.149681337022673
ANKEF1,0.08215224181941501
ANKFN1,0.2085920260098369
ANKFY1,0.09482871799970304
ANKH,0.09168841638673605
ANKHD1,0.1879006881971296
ANKIB1,0.09428637474307937
ANKK1,0.2750100759452861
ANKLE1,0.259792450929899
ANKLE2,0.11747264357650321
ANKMY1,0.14700186706386892
ANKMY2,0.06865568090025434
ANKRA2,0.08551024482705583
ANKRD10,0.23113924640083416
ANKRD11,0.19312698962146851
ANKRD12,0.12410768725379759
ANKRD13A,0.18142515909613124
ANKRD13B,0.06470321821429985
ANKRD13C,0.07892776543907644
ANKRD13D,0.11824571941527823
ANKRD16,0.06162187253784729
ANKRD17,0.16267672291723598
ANKRD22,0.23285706541190182
ANKRD23,0.10766054598075721
ANKRD24,0.061412677164309204
ANKRD27,0.07186985190273304
ANKRD28,0.09228490034911842
ANKRD29,0.07343852377602413
ANKRD33B,0.1483523750339823
ANKRD35,0.12947470637305042
ANKRD37,0.06919324157312484
ANKRD39,0.11761309736510756
ANKRD40,0.09871706890166519
ANKRD42,0.07147535323443022
ANKRD44,0.25225265105511374
ANKRD45,0.1179779867983023
ANKRD46,0.07382253953066287
ANKRD49,0.0892927593497888
ANKRD50,0.06484825644076878
ANKRD53,0.22590435894502128
ANKRD54,0.06607248713368241
ANKRD6,0.11944678691626671
ANKRD62,0.09248214976259703
ANKRD65,0.26344528593306504
ANKRD9,0.06424631709335013
ANKS1A,0.07715177722469753
ANKS3,0.06993359820631634
ANKS4B,0.14492194338941508
ANKS6,0.079836219281818
ANKZF1,0.1076204975924095
ANLN,0.07519865526930276
ANO1,0.17065252224183092
ANO10,0.0731202689601441
ANO2,0.14762446719967476
ANO4,0.13180675604652017
ANO5,0.11992517949767505
ANO6,0.10705720431856448
ANO7,0.22331894483520323
ANO8,0.06294718476749811
ANO9,0.24405992939439788
ANP32A,0.17529830724908393
ANP32B,0.26412589061742425
ANP32E,0.15117281728298454
ANPEP,0.27448846834381013
ANTXR2,0.27815478993248993
ANXA1,0.41394313155404383
ANXA10,0.2826126406735591
ANXA11,0.2988644885073001
ANXA13,0.23037167473286274
ANXA2,0.23631304767952338
ANXA3,0.10846018385152535
ANXA4,0.18429256520605258
ANXA5,0.18749465119647826
ANXA6,0.22194310265451828
ANXA7,0.22347948456017924
ANXA9,0.11241258197490661
AOAH,0.2773012642812913
AOC1,0.23235522745012072
AOC2,0.09210785075000975
AOC3,0.21308140475655568
AOX1,0.18489079324801275
AP1AR,0.0643256204461845
AP1B1,0.12064455481793156
AP1G1,0.1353691405121666
AP1G2,0.2270234352240668
AP1M1,0.0880441000357715
AP1M2,0.10042369347444764
AP1S1,0.06387856127772563
AP1S2,0.10108266887506824
AP1S3,0.1051903541597361
AP2A1,0.1038051231334447
AP2A2,0.07154079188025049
AP2B1,0.20792861650867248
AP2M1,0.17774475312945387
AP2S1,0.10237089225106197
AP3B1,0.14601538572509798
AP3B2,0.10437255753810536
AP3D1,0.1400669120350221
AP3M1,0.12757487755837882
AP3M2,0.10549006941210692
AP3S1,0.0966593874250341
AP3S2,0.0670432988319658
AP4B1,0.0974112057860407
AP4E1,0.09121214315516843
AP4M1,0.06801249732861998
AP4S1,0.07638618561899707
AP5B1,0.11942566109622849
AP5M1,0.10050923334481723
AP5S1,0.06854969569826033
AP5Z1,0.06888799837294639
APBA1,0.11505948762764731
APBA2,0.11748503937461349
APBA3,0.06820972158188367
APBB1,0.06698077279305903
APBB1IP,0.327551144278399
APBB2,0.07121638640176564
APC,0.09612939272145543
APC2,0.11898003888766774
APCDD1,0.13172465135344502
APEH,0.08919809724836299
APEX1,0.23040940333317725
APEX2,0.08797995848829544
APH1A,0.10242483689816201
APH1B,0.0715035349632421
API5,0.1273156479986144
APIP,0.06922180264317042
APLF,0.08869339777204067
APLN,0.1687222928263481
APLP1,0.10326633384249927
APLP2,0.16159638106141708
APMAP,0.12798321922147504
APOA1,0.09067980810929407
APOA2,0.1388253467048447
APOA4,0.23567711781730216
APOA5,0.2429567178114988
APOB,0.2297151840485751
APOBEC1,0.2097907868795357
APOBEC2,0.1792396615477794
APOBEC3H,0.25395657252755816
APOBEC4,0.22124410416886364
APOBR,0.18217230928705283
APOC1,0.10481053642176667
APOC2,0.2353760000871919
APOC3,0.23595870555736037
APOD,0.11810635908152237
APOE,0.06319033619771988
APOH,0.13762285249964626
APOL1,0.12459971514673236
APOL2,0.1396369378726423
APOL3,0.24230886393593926
APOL4,0.13193041999373484
APOL6,0.2884493239246041
APOLD1,0.08640459835091263
APOM,0.14350123663968967
APOO,0.06496702839518041
APOOL,0.08700693385682925
APP,0.10390269108183622
APPBP2,0.07015581725317373
APPL1,0.11060181453711207
APPL2,0.0918167585731353
APRT,0.21376898733100877
APTX,0.0704091976466255
AQP1,0.14105645079284268
AQP11,0.08460501856110295
AQP12A,0.2504441705592153
AQP12B,0.24590927582955818
AQP3,0.30648280930764643
AQP7,0.21344498524734787
AQP8,0.2704117201615063
AQR,0.1077280519389426
AR,0.11967031588550202
ARAF,0.1990049413164929
ARAP1,0.14109632562985985
ARAP2,0.11713792787014281
ARAP3,0.12237617839604925
ARC,0.09522326680551316
ARCN1,0.2525578078912642
AREG,0.15499412114943859
AREL1,0.07942778098611773
ARF1,0.2687605797890523
ARF3,0.11438171330635072
ARF4,0.1520652719216583
ARF5,0.08793979438340593
ARF6,0.19078539239066938
ARFGAP1,0.07049344284398824
ARFGAP2,0.08428596456358768
ARFGAP3,0.07745813299832982
ARFGEF1,0.12686618594603644
ARFGEF2,0.09410198628071277
ARFGEF3,0.0744744809343985
ARFIP1,0.0775717092463885
ARFIP2,0.06475479006106037
ARFRP1,0.06369161716940147
ARG1,0.2740184802884816
ARG2,0.10816039666004425
ARGLU1,0.241089632888946
ARHGAP1,0.14202261778988765
ARHGAP10,0.0821421769505877
ARHGAP11A,0.09145966281662102
ARHGAP12,0.07328739011619466
ARHGAP15,0.30658069841758134
ARHGAP17,0.14146821165890724
ARHGAP18,0.08319715066895043
ARHGAP19,0.08783389871549935
ARHGAP20,0.11513886222927383
