DRUGBANK_ID,pipe_genesymbol
DB14126,NME2
DB01618,EHMT2
DB00248,HTR1B
DB01590,KRAS
DB00415,POLK
DB00159,GLS
DB00471,CA10
DB01388,THPO
DB00171,P2RX7
DB07080,RORC
DB15492,DRD4
DB12001,ESR1
DB04014,ROCK1
DB12369,PRKCG
DB14680,TUBA3C
DB06169,TUB
DB00628,GABRB2
DB04854,UGT1A7
DB00813,IL6
DB00264,ADRB2
DB00255,CYP2D6
DB01165,CYP2C9
DB11791,BRAF
DB00132,HSD17B10
DB14201,HPGD
DB02375,BAZ2B
DB11730,CCND1
DB00528,CACNA2D1
DB08872,CACNG1
DB01050,TARDBP
DB01248,SLCO1B1
DB00349,GABRG1
DB00619,BCL2L11
DB00996,CACNB4
DB00328,PPARG
DB11694,FGFR3
DB01030,BDNF
DB12869,CYP3A4
DB01085,CHRM2
DB00496,CHRM2
DB04014,CHEK2
DB03285,CYP2C19
DB00951,CYP2C19
DB00331,SLC22A2
DB15588,HDAC6
DB00741,ARNT
DB01238,CYP2D6
DB01708,IL2
DB09120,CYP2C19
DB00622,CACNA1C
DB01038,GMNN
DB01094,NR1H3
DB00422,SENP3
DB04216,KDM4E
DB00811,MICB
DB00642,EGFR
DB00050,HSPD1
DB01222,CYP2C9
DB00317,ERBB3
DB12267,EGFR
DB00628,GABRA6
DB01005,DUSP1
DB03791,EHMT2
DB11772,PIK3CD
DB00151,EHMT2
DB04485,SLC2A1
DB01244,ABCB1
DB02546,HDAC6
DB00829,ALB
DB00599,FAAH
DB01396,ATP1B2
DB01244,EHMT2
DB15106,KDR
DB11399,CYP3A4
DB13101,HDAC2
DB00884,FDPS
DB01595,GABRA6
DB01288,ADRB2
DB00247,HTR2A
DB13659,SLC5A7
DB08079,MET
DB00756,USP1
DB01083,DAGLA
DB11896,BRAF
DB14632,NR3C1
DB00999,ANKFN1
DB01229,TUBA1A
DB01200,MYC
DB00295,OPRM1
DB00482,CACNA2D4
DB07615,RAB9A
DB16213,ACHE
DB01954,PDE5A
DB12721,AVPR2
DB00340,CHRM2
DB08911,ETV4
DB00489,ADRB2
DB04829,HTR2A
DB13469,USP1
DB12681,GMNN
DB04459,CYP1A2
DB05016,CFTR
DB04849,RET
DB05676,PDE4C
DB00539,CYP3A4
DB15110,PLK1
DB01259,SRC
DB09053,ERBB2
DB06228,F10
DB04982,GRIA3
DB01205,TSPO
DB00230,CACNB3
DB00384,TP53
DB02224,EHMT2
DB00368,COMT
DB00997,TAF1
DB00631,POLA1
DB00202,RYR1
DB00755,CXCL8
DB01175,CYP2C19
DB00996,CACNB1
DB11958,FGFR1
DB01234,UGT1A1
DB00188,PSMD5
DB11653,MC3R
DB01064,PIK3CG
DB13520,HTR6
DB06134,PLK4
DB00608,CYP2C9
DB01852,POLI
DB06684,DRD3
DB02010,CAST
DB12180,MAP3K9
DB00366,HRH1
DB00393,ATAD5
DB00877,ABCG2
DB01418,CYP4F2
DB01816,GBA
DB05482,UGT1A4
DB01104,ATXN2
DB00970,PPARD
DB02010,DIABLO
DB00396,STS
DB11447,NOX1
DB00737,CYP2C9
DB11410,GLP1R
DB00708,OPRM1
DB11784,GRIN3B
DB15219,STK17A
DB00544,GNL3
DB00398,IRAK1
DB11940,RRM2
DB00598,LPL
DB00540,CYP2D6
DB00708,COMT
DB11526,YES1
DB00878,IDH1
DB14544,NR3C1
DB14725,GLS
DB01173,HRH1
DB12145,CHRNA7
DB01026,MPHOSPH8
DB12962,YES1
DB06230,OPRK1
DB00734,RABEP1
DB00988,ADRA2A
DB05928,IRAK1
DB12130,EML4
DB08916,EML4
DB13233,CYP3A4
DB09027,IFNL3
DB02594,DCK
DB08633,BAX
DB13520,DRD1
DB11561,HSD17B10
DB04725,ALOX5
DB11687,FLT3
DB06218,SCN1A
DB13245,BBOX1
DB00421,NR1I2
DB12105,CACNB3
DB05408,CASP8
DB11913,PRKAA1
DB02712,NFKB1
DB00734,TNFRSF11A
DB11819,S1PR5
DB01161,CYB5R3
DB00507,SMN1
DB06579,GABRD
DB00898,GABRA1
DB08846,MAPT
DB00968,CYP2C19
DB01452,OPRM1
DB09074,TP53
DB00683,GABRG1
DB00963,PTGS2
DB00227,NT5E
DB01001,COL22A1
DB06595,NPM1
DB00433,DRD4
DB04462,KAT2A
DB01591,CHRM2
DB00317,ERBB4
DB00192,SCN5A
DB06803,CYP1A2
DB05786,NFE2L2
DB01015,GCLC
DB00908,ABCB1
DB01023,MAPT
DB01069,CHRM3
DB00264,ACE
DB00628,GABRA5
DB00484,ADRA2B
DB00196,CYP2C9
DB00637,CYP2D6
DB01791,PDE4D
DB09158,KMT2A
DB06554,GABRA1
DB00946,CYP4F2
DB00999,ACE
DB01216,CFLAR
DB00651,PDE4D
DB00390,CST3
DB06789,NPSR1
DB00468,CYP3A7
DB08889,PSMB11
DB09028,CHRNA4
DB11851,PDGFRB
DB01050,ASIC1
DB11995,F5
DB11795,PTEN
DB08059,NTRK1
DB16232,CDK2
DB11977,EGFR
DB01124,ABCC8
DB00759,LDLR
DB01744,ALDH1A1
DB11805,YES1
DB00210,RARG
DB12877,HIF1A
DB01248,MUC16
DB00641,LIF
DB05219,PDE4A
DB01339,CHRNA2
DB01202,ABCB1
DB00783,NOS2
DB04786,SIRT3
DB00864,SPP1
DB04815,OPRK1
DB09068,HTR2A
DB09048,TACR1
DB12876,SLC22A6
DB01259,AURKB
DB01590,NOTCH1
DB00471,ALOX5
DB00477,HTR2C
DB03044,HCK
DB00709,SLC22A1
DB00380,ABCB1
DB05434,THBS1
DB01050,PTGER4
DB00350,SULT1A1
DB00396,PGR
DB01601,SMAD3
DB01236,ATP2C1
DB04459,HSD17B10
DB00997,NCF4
DB00755,USP1
DB16108,MAP4K4
DB00709,ENOSF1
DB06603,HDAC7
DB00371,GABRB1
DB00850,HRH1
DB09079,FGFR4
DB00518,CYP1A2
DB08912,MITF
DB06091,BRCA2
DB08190,CYP2D6
DB12703,PTEN
DB11694,PRKD3
DB05266,PDE4A
DB04849,PTK6
DB08889,PSMD11
DB00734,LEP
DB12885,ADORA3
DB12874,CBL
DB13929,AVPR1B
DB00543,DRD3
DB12367,GRIA4
DB03428,ATXN2
DB00279,CYP2C9
DB00603,CYP3A5
DB03758,HSP90AB1
DB01023,ABCB1
DB11703,LCK
DB00997,SDHB
DB00887,GPR35
DB06711,CYP2D6
DB01254,SIK2
DB01128,CYP2B6
DB01042,MGMT
DB12154,JAK2
DB00276,ATAD5
DB00762,PIN1
DB11655,CETP
DB00422,ETFDH
DB00382,CYP3A4
DB00352,KDM4A
DB11886,PIK3R5
DB04946,HRH1
DB08059,AKT1
DB01173,GRIN3B
DB00800,RECQL
DB00661,BAX
DB01076,CYP3A4
DB01053,SLC22A8
DB00441,CDC5L
DB00783,AR
DB00812,EHMT2
DB02232,EHMT2
DB00322,IDH1
DB00586,CYP1A2
DB12375,PDE4B
DB00563,GSTM1
DB02546,EZH2
DB00390,PAX8
DB09079,FLT3
DB13854,CASP6
DB00315,HTR1B
DB06772,TUBA4A
DB00794,GRIA2
DB00570,TUBB4A
DB00421,CYP1B1
DB00531,PERP
DB00732,CHRNE
DB00439,RYR2
DB08660,HSD17B10
DB00338,CYP2C19
DB00398,CSF1R
DB01452,ALDH2
DB12032,CACNA2D2
DB00586,CCL17
DB01037,TACR1
DB00665,CYP3A4
DB00247,EHMT2
DB00661,CACNA1S
DB14857,CRBN
DB01212,G6PD
DB02709,GDF15
DB00199,G6PD
DB06529,GABRR3
DB00773,IGF2
DB11910,HRH1
DB11750,PLA2G1B
DB02709,CEL
DB08911,MET
DB00731,CYP2C19
DB04630,ABCB1
DB00909,SCN2A
DB00688,AR
DB06195,CCNB1
DB00544,GALNT14
DB05294,EPHA8
DB12714,SCN4A
DB03255,CA9
DB05519,KCNH2
DB00945,IRS2
DB00441,FGFR3
DB11891,HDAC5
DB04844,ABCB1
DB11986,FLT1
DB09063,SRC
DB01241,LEP
DB00333,ABCB1
DB01437,GABRD
DB01032,AR
DB11991,PSMA6
DB12385,CYP3A4
DB04743,CYP2C9
DB00806,PDE2A
DB00433,EHMT2
DB11185,AR
DB01204,PIM1
DB12015,PIK3R3
DB07594,PIM1
DB01179,TUBB4B
DB00753,GABRA4
DB00656,HSD17B10
DB04842,KCNH2
DB00806,PDE4A
DB04845,TUBA1B
DB00970,APEX1
DB01204,RPSA
DB00188,PSMD1
DB00829,GABRP
DB05294,LTK
DB01234,JUNB
DB01004,ERBB2
DB00587,HSD17B10
DB01132,NR1I2
DB01428,CYP1A2
DB00204,KCNJ12
DB00151,VDR
DB00531,SLC22A16
DB09068,HTR6
DB00338,GSTP1
DB01050,UGT2B4
DB04209,HSD17B10
DB00162,BAX
DB04858,TP53
DB00503,UGT1A7
DB12387,PTEN
DB15327,BTK
DB00882,PTH
DB05381,SLC29A4
DB05608,IPO11
DB00331,SLC47A1
DB11697,FLT3
DB00495,CYP2C9
DB01202,HLA-A
DB00392,CHRM1
DB01708,ABCG2
DB04638,HSPA5
DB00191,SLC6A2
DB09078,YES1
DB00246,HTR1B
DB00186,GABRQ
DB11666,PIK3C2G
DB01645,CYP19A1
DB12693,CYP2D6
DB06176,HDAC2
DB00892,CYP2D6
DB01033,NT5C2
DB04868,KIT
DB06579,GABRG1
DB00268,DRD4
DB13715,SLC29A1
DB13313,ARSA
DB00949,CYP2C19
DB08387,PDE10A
DB05220,BRSK1
DB00050,GNRHR
DB08943,BAZ2B
DB00732,CHRND
DB00542,MTHFR
DB00818,GABRA4
DB01039,ABCA1
DB00231,CYP3A4
DB00996,CACNA2D4
DB00846,AR
DB12047,HSP90AA2P
DB00877,MCL1
DB00606,GRIA1
DB00806,PDE6D
DB06616,BCR
DB08073,IDH1
DB11663,RB1
DB00441,XRCC1
DB08872,CACNA1H
DB06710,NOS1
DB11651,PIK3R5
DB07863,AR
DB07101,NRAS
DB11828,KRAS
DB09078,KIT
DB00313,HDAC4
DB08889,PSMD1
DB00619,FIP1L1
DB00790,ACE
DB01200,ADRA2A
DB00422,ARHGAP12
DB05100,MMP1
DB07706,GLS
DB00657,CYP1A2
DB12778,SELL
DB00540,ATXN2
DB12714,KCNC4
DB00204,KCNH1
DB05521,CYP3A4
DB15903,NPSR1
DB00370,CYP2C19
DB00650,TYMS
DB00328,ACE
DB00472,HTR2A
DB00204,KCNK2
DB01100,DRD5
DB09401,MCL1
DB00312,GABRB2
DB01042,GSTP1
DB05220,CLK4
DB00970,VDR
DB03701,PPARD
DB03644,PDK1
DB00675,TGM2
DB07080,NR3C1
DB12391,TUBA1C
DB00736,CYP3A4
DB00214,CYP1A2
DB01099,DPYD
DB03608,ASIC2
DB14575,SCN11A
DB00819,CA4
DB02877,CYP2D6
DB00851,CYP2C9
DB04849,ABL1
DB00363,ITIH3
DB12369,PIM1
DB11562,GABRA4
DB00563,ABCC1
DB12320,RARG
DB00188,PSMA6
DB00608,CYP1A2
DB05220,TNK2
DB00404,GABRA3
DB06233,KRAS
DB00170,AR
DB00244,RECQL
DB01078,ATP1A4
DB13182,RAB9A
DB11902,PDE5A
DB01248,PPCDC
DB16108,FRK
DB08815,HTR2A
DB12709,LDLR
DB05294,EPHB4
DB01157,VDR
DB15579,PLK1
DB04845,TUBB4B
DB01212,CYP2D6
DB08873,CYP3A5
DB00433,CYP2C19
DB00762,BCHE
DB00751,HRH2
DB12500,JAK2
DB12714,KCNH3
DB02255,MMP14
DB00671,KDM4A
DB00363,SH2B1
DB01303,PDE4A
DB12985,HDAC1
DB01303,ADORA2B
DB09079,FLT4
DB11725,GRIN2C
DB00706,ADRA1D
DB01396,ATP1A4
DB04849,CAMK2B
DB05585,TUBA3E
DB11947,DRD2
DB13025,DRD2
DB11740,CDK5
DB06699,GNRHR
DB00340,CHRM3
DB00734,UGT1A9
DB05100,MMP9
DB00535,SUMO1
DB00136,GDF15
DB08073,KRAS
DB01229,ACSS2
DB04813,BAZ2B
DB00433,KDM4A
DB05038,BDKRB2
DB00295,MAPK14
DB12398,PTGS1
DB13919,ACE
DB12371,S1PR3
DB11836,RICTOR
DB00530,BRAF
DB00490,ALDH1A1
DB12756,AURKB
DB07995,PRKACA
DB01590,PIK3R1
DB05294,EPHA5
DB00756,ALOX15
DB12703,PIK3R4
DB00343,PLCD3
DB12696,MAPK11
DB00379,CYP2D6
DB01064,HSPA4
DB01234,NR3C2
DB03701,CYP2C19
DB01121,SCN4A
DB14723,ETV6
DB00890,CYP3A4
DB00188,CAPN1
DB01229,NR1I2
DB13950,CNR1
DB00959,NFE2L2
DB04951,CYP1A2
DB00715,EHMT2
DB12180,PIK3R3
DB11689,ATM
DB00533,PTGS2
DB13005,PDGFRB
DB00184,VHL
DB00441,SLC29A2
DB00877,PLAU
DB04849,VHL
DB01041,ERCC1
DB06640,ESR1
DB15579,POLI
DB00647,CYP3A5
DB00759,HSP90AA1
DB03585,PTGS1
DB14509,GSK3A
DB08839,HTR2A
DB00860,RB1
DB00383,CHRM1
DB01156,SLC6A2
DB00620,SERPINA6
DB01215,GABRA1
DB00331,PRKAG1
DB00334,ADRA2A
DB15011,C5AR1
DB01611,APP
DB08872,CACNA1D
DB14835,HRH3
DB01698,POLB
DB14773,ARAF
DB00231,GABRA1
DB00852,HSD17B10
DB00753,GABRD
DB12332,SLC47A1
DB13179,CYP2D6
DB01243,HSP90AA1
DB06536,PPARG
DB00703,INSR
DB08895,STAT5B
DB05928,CSNK1D
DB00805,HTR2C
DB14860,EML4
DB00619,CYP3A4
DB01330,BAZ2B
DB01483,GABRA1
DB12641,HTR3E
DB00797,ADRA2C
DB01590,KDM5C
DB00842,GABRA2
DB08873,VDR
DB11619,AR
DB13245,VDR
DB00184,CREB1
DB01623,ATXN2
DB00563,TP53
DB01131,SLC22A1
DB00745,CYP1A2
DB00741,MMP1
DB05984,RAF1
DB01070,VDR
DB15408,DAPK3
DB00887,NPPA-AS1
DB00495,SLC28A3
DB05928,AURKB
DB00720,CCL4
DB00544,TPT1
DB07374,PAX8
DB04786,USP1
DB14948,LPAR1
DB00897,TSPO
DB06789,PGR
DB12695,CYP2E1
DB00370,SH2B1
DB13061,PTK2
DB12681,MTOR
DB00222,G6PD
DB01567,GABRA2
DB00812,NR1I2
DB11694,HCK
DB11817,PTK2B
DB00690,GABRQ
DB00975,CYP2C9
DB01115,CYP3A5
DB01065,MTNR1A
DB12752,ADRA2C
DB11859,GABRG3
DB01113,NFE2L2
DB00850,CYP2D6
DB04845,TUBA1C
DB02056,PPARD
DB00804,EHMT2
DB09232,AR
DB04452,MEN1
DB06134,CLK4
DB11651,BRAF
DB00694,AR
DB03783,CYP1A2
DB05969,CDK1
DB00227,UGT1A3
DB13618,SENP6
DB01076,HTR3B
DB12947,TYMS
DB12254,TUBA1C
DB16108,MAPK14
DB06199,EDNRA
DB08839,HTR5A
DB00248,ADRA2B
DB16139,HSD17B10
DB00227,UGT2B7
DB00544,BAX
DB01192,CYP2D6
DB01588,GABRQ
DB00531,CYP2B6
DB13174,POLH
DB09153,FCGR3A
DB04839,AR
DB13676,PPARD
DB00255,DNMT1
DB00649,CYP2C19
DB00390,TSHB
DB11995,MPL
DB11896,PIK3R3
DB08142,CDK8
DB00818,GABRB1
DB14793,MDM2
DB00853,CSF2
DB04166,HSD17B10
DB00508,DRD1
DB04528,NFE2L2
DB00188,BAX
DB08871,PGR
DB00132,FFAR1
DB00945,MCL1
DB00999,FBXL17
DB00372,HTR2C
DB00909,CACNA1H
DB01076,ABCC2
DB01179,TOP2A
DB11443,AR
DB00975,PDE7B
DB00474,GABRA1
DB00721,RYR2
DB04242,CA12
DB01235,POLI
DB11925,PIK3CA
DB00361,TUBB4B
DB08875,GNA11
DB00806,PDE6G
DB00698,G6PD
DB12332,CYP2D6
DB15584,NFKB1
DB04575,ATXN2
DB01594,GABRD
DB14568,IDH1
DB00530,AR
DB01229,CYP19A1
DB11694,MAP2K1
DB04690,CYP2C19
DB03496,CDK1
DB00228,GABRA1
DB00731,CYP1A2
DB00620,HCG22
DB00398,CAMK2B
DB00228,GABRA3
DB12881,EHMT2
DB06176,KMT2A
DB11682,EGLN3
DB00979,CHRM1
DB11740,LCK
DB01590,AKT1
DB08946,NFE2L2
DB00327,OPRM1
DB01268,YES1
DB00968,CYP3A4
DB08901,YES1
DB14217,ACE
DB12231,VDR
DB00404,GABRA1
DB00433,CYP2C9
DB00502,IL1RN
DB00206,TYMS
DB00361,TUBA3D
DB00623,DRD1
DB00546,GABRD
DB01248,GSTM1
DB05152,CHRM1
DB00983,CYP2D6
DB00762,AREG
DB01239,HTR2C
DB04690,HUS1
DB00331,SLC47A2
DB00999,CSK
DB01229,PIK3CA
DB04844,SLC18A2
DB00172,PPIA
DB00878,ATXN2
DB02709,APP
DB00814,CYP3A5
DB04824,PPARG
DB13093,FLT1
DB08804,AR
DB00352,GATA3
DB07715,CYP3A4
DB01177,APEX1
DB00850,HTR7
DB01337,CHRNA2
DB09167,CHRM3
DB12167,PIK3CB
DB01242,ABCB1
DB01076,HMGCR
DB12441,NTRK1
DB08142,CDK7
DB13245,NFE2L2
DB01028,ATP5F1D
DB12714,KCNS3
DB12452,GJB4
DB01229,TUBA3D
DB00396,CP
DB00957,ESR1
DB00354,HRH1
DB00288,NR3C1
DB01174,GABRA6
DB12483,PIK3R2
DB13179,CYP3A4
DB00118,TF
DB06616,TNK2
DB00441,KRAS
DB12962,FGFR1
DB00822,HPGD
DB01186,HTR2B
DB01001,CLOCK
DB08039,USP1
DB00170,F10
DB04485,SLC28A1
DB00292,GABRB1
DB14061,CYP2D6
DB00184,CHRNA7
DB16108,CSNK1A1
DB12483,PIK3R1
DB00136,TG
DB05246,CACNA1I
DB05812,DSE
DB12588,JAK1
DB00482,ATP2A2
DB00201,CYP2A6
DB00945,ITGA2
DB00370,CYP3A5
DB00753,CACNA1S
DB00530,LTK
DB06134,NTRK2
DB00372,DRD4
DB00238,ABCB1
DB12193,CNR2
DB06209,CYP3A5
DB08860,HMGCR
DB00849,GABRA5
DB06176,HDAC5
DB00694,EHMT2
DB11725,GRIN2D
DB03880,MMP1
DB04462,ATXN2
DB01042,SLC7A5
DB12452,GJA10
DB00502,AR
DB12340,KRAS
DB08995,POLK
DB01118,CYP3A5
DB06287,ERBB2
DB07941,MAPK13
DB11968,KCNJ1
DB01154,KCNJ8
DB01407,ADRB2
DB01100,XBP1
DB00432,TP53
DB01065,GHRH
DB11740,PRKD3
DB12539,APEX1
DB06649,GRIN2B
DB01132,YES1
DB00333,DRD2
DB09073,FLT3
DB01454,HTR2C
DB00993,NFE2L2
DB00205,SLC47A1
DB01041,F2R
DB09198,PPARG
DB13182,HSD17B10
DB08846,TDP1
DB08313,NFE2L2
DB11948,VDR
DB00406,FEN1
DB12562,PTGDR2
DB11142,GSTP1
DB06345,EPHX2
DB12105,CACNG3
DB00608,CYP2D6
DB04690,TOP2A
DB11689,MAP2K7
DB00586,PLCG1
DB04849,PRKD2
DB07675,PPARG
DB05470,MAPK14
DB00338,KDM4A
DB12643,AVPR1B
DB12291,HDAC11
DB01234,SERPINE1
DB11085,CYP3A4
DB07352,NR3C1
DB00987,POLE
DB06358,DHFR
DB02546,TP53
DB00246,DRD3
DB00363,HTR1D
DB00753,GABRQ
DB00463,GABRD
DB05552,PIK3CD
DB01143,ALPG
DB12452,GJA5
DB11986,ETV6
DB01182,MTOR
DB11886,PIK3R3
DB00333,KCNH2
DB00252,UGT2B15
DB06660,TACR2
DB01165,GSR
DB08872,CACNA1S
DB00617,CACNA1I
DB04961,ABCC1
DB04849,TAOK1
DB04786,FOLH1
DB13677,IDH1
DB02709,GSTP1
DB14660,AR
DB02520,GSTP1
DB00877,RBL2
DB11699,JUN
DB01026,ABCB1
DB07795,ALOX12
DB01030,ATRX
DB04338,IRAK1
DB05928,LRRK2
DB09028,CHRNA7
DB09290,HTR3A
DB00283,CYP1A2
DB12180,PIK3R5
DB09241,NCOA3
DB12387,AKT1S1
DB04272,NFE2L2
DB00694,RECQL
DB06637,KCNQ2
DB00641,CEL
DB01127,TRPV5
DB09242,ADRA2B
DB01018,CYP2D6
DB00715,CYP3A5
DB07726,PPARD
DB12108,KRAS
DB11891,HDAC11
DB01558,GABRP
DB12720,CASP8
DB12174,ERBB2
DB12272,PTGDR2
DB01591,CHRM4
DB01241,JUN
DB01065,CYP3A7
DB08901,RET
DB00350,KCNJ1
DB00215,TPH2
DB11611,ICAM1
DB01229,AR
DB00530,BLK
DB09063,ABCB1
DB13751,AR
DB00333,NR1I2
DB06134,CAMK2D
DB00459,STAT3
DB06616,CAMK1D
DB01536,NR3C1
DB11811,SLC22A12
DB00296,SCN10A
DB05223,HDAC8
DB11428,ADRA1D
DB00542,ADRB2
DB08073,PHKG1
DB00441,POLR2A
DB15932,TRPC5
DB15334,SMN1
DB12752,ADRB1
DB00155,GPRC6A
DB06151,KDM4E
DB00755,BCOR
DB11967,KRAS
DB01229,CDKN1A
DB03255,CA4
DB01231,CHRM3
DB00253,AR
DB00396,TPM3
DB13178,IRS1
DB00470,PLA2G2A
DB00614,NFE2L2
DB11836,MLST8
DB00227,PRL
DB01254,MINK1
DB11447,PRL
DB12483,ERBB2
DB14038,GSK3B
DB08896,DDR2
DB00780,SLC6A3
DB12400,PIK3R2
DB06486,JAK1
DB07232,PARP2
DB01267,EHMT2
DB11958,FGFR3
DB11818,OXTR
DB00292,GABRB2
DB07138,MAPK12
DB11663,RIT1
DB12661,CYP2C9
DB00875,CBX1
DB13929,AVPR2
DB01229,SMAD4
DB00252,MTHFR
DB00420,CHRM2
DB00237,GABRA1
DB00610,CYP1A2
DB00934,CYP2D6
DB00887,HSD17B10
DB00563,NALCN
DB06169,TUBB4B
DB00741,APOB
DB01254,ACVR1
DB15584,SMN1
DB06134,PRKCD
DB01403,DRD2
DB09030,F2RL3
DB15584,RECQL
DB11629,HMGCR
DB00966,NFE2L2
DB01702,APEX1
DB12774,HRAS
DB06813,RFC1
DB08039,MPHOSPH8
DB12812,MTOR
DB01196,BLM
DB13182,CYP2C19
DB15412,PTPA
DB04951,MAPK11
DB00191,SLC6A3
DB12032,CACNA1D
DB12242,CHEK2
DB00518,GMNN
DB01004,APOE
DB02424,FCGR3A
DB01038,DRD5
DB00184,CDKN1A
DB12874,PDGFRA
DB03701,CYP2D6
DB01101,MIR2054
DB15281,MAPK1
DB01241,IL6
DB01041,SLC10A2
DB12369,SLK
DB00502,NR4A1
DB05434,CD36
DB03701,MTOR
DB11913,GSK3B
DB00316,HTR4
DB01392,DRD1
DB08230,GALK1
DB01138,UGT1A9
DB11830,HTT
DB15068,RAF1
DB01100,CBX1
DB00344,CYP2D6
DB00412,CD40LG
DB12032,CACNB4
DB12831,TPSAB1
DB12969,APH1A
DB01238,HTR1B
DB00437,UGT1A6
DB00214,GNB3
DB01149,HTR2C
DB01224,SLC6A4
DB00669,GCG
DB00389,HLA-DRB1
DB06684,HRH1
DB15233,KIT
DB01244,KCNQ4
DB00755,SMAD2
DB01589,GABRR2
DB09073,CHEK1
DB07623,KDM4A
DB12465,HTR7
DB01406,CYP3A4
DB06197,SELL
DB05928,ITK
DB09076,CYP2D6
DB12458,GABRA4
DB00140,HSD17B10
DB01045,AR
DB01233,CYB5R3
DB00199,BAX
DB00734,NR1I2
DB12962,MET
DB08911,DUSP6
DB13277,KAT2A
DB05076,KDM4A
DB01101,CES1P1
DB00606,RECQL
DB12082,THBS1
DB00186,GABRR2
DB01234,SOAT1
DB00694,HDAC4
DB00990,AKR1C3
DB01125,SMN2
DB14065,SCN5A
DB06823,ABCC1
DB12613,TUBB
DB00613,CYP2C8
DB00619,SMAD3
DB00544,EGFR
DB04873,HTR2B
DB01008,G6PD
DB01126,SRD5A2
DB01083,LIPF
DB06144,ADRA1B
DB14769,BRCA1
DB12141,FLT3
DB12500,BRD4
DB00282,CASR
DB07352,CFTR
DB08981,PTGS1
DB00780,CYP2D6
DB12028,SMN1
DB01224,CYP1A2
DB12399,PTGS2
DB00628,GABRB1
DB01030,TYMS
DB00928,ATAD5
DB00610,CYP2C9
DB03568,HDAC9
DB01175,HTR2A
DB00463,GRIA2
DB04813,ALDH1A1
DB04842,MPHOSPH8
DB02365,PPARD
DB01248,CHST3
DB15949,CYP2D6
DB00864,NR1I2
DB05562,HTR1A
DB01702,KDM4E
DB15449,HDAC6
DB15059,EDNRA
DB11957,HTR2C
DB06554,GABRA5
DB00180,PLA2G4A
DB05928,MARK4
DB04743,PTGS2
DB01076,TGM2
DB15144,SLC6A3
DB00132,ALOX15
DB00499,MPO
DB15440,HTT
DB00216,CYP2D6
DB11760,SLFN11
DB06637,KCNC3
DB01275,CYP3A4
DB07715,MAPT
DB09495,KAT2A
DB01137,GSR
DB00532,SCN5A
DB07159,PDPK1
DB12610,HSD17B10
DB01041,ABCC6
DB00997,NR1I2
DB00130,GPRC6A
DB00385,TOP2A
DB08872,CACNB3
DB05585,TUBB
DB05381,CA7
DB06486,PRKCE
DB00728,SLCO1A2
DB01200,ABCB1
DB00555,SCN5A
DB04861,CYP2D6
DB00619,ULK3
DB00305,ABCB1
DB03585,EHMT2
DB08815,HTR1A
DB00335,STN1
DB08911,CDKN2A
DB00338,PLK1
DB00345,MAPT
DB08881,PREX2
DB00352,NAT1
DB00544,MYB
DB06999,NRAS
DB03167,FASN
DB12319,POLB
DB12714,KCNG1
DB04599,CYP1A2
DB15584,CYP1A2
DB04786,APEX1
DB01645,ESR1
DB06707,ALOX15
DB12291,HDAC1
DB04842,THPO
DB11891,ERBB2
DB00575,ADRA2C
DB00470,CYP2C9
DB00820,PDE5A
DB00903,CYP2C9
DB01177,RAC2
DB00637,CYP2J2
DB14719,GABRG3
DB02587,NR1I2
DB02034,ZAP70
DB05039,CHRM1
DB01142,CHRM4
DB12598,ASIC2
DB03285,MAPT
DB00770,PTGER2
DB00997,CYP1A2
DB00734,ADRA1D
DB02255,ADAM10
DB16255,NR1H4
DB00398,MAP3K20
DB01044,PRKD3
DB00292,GABRA4
DB06725,GCG
DB00476,KMT2E
DB13855,NFE2L2
DB00361,TUBB3
DB12693,NFKB1
DB12332,UGT1A1
DB12135,CXCR2
DB04868,UGT1A1
DB00175,MMP3
DB11694,PRKCD
DB00441,RRM1
DB00381,CACNA1C
DB00334,IL1A
DB00381,CACNA1B
DB00334,CYP2C9
DB11617,TOP2B
DB13174,HSP90AA1
DB01229,TLE3
DB12985,HDAC6
DB11424,ALOX15
DB00898,ADH1B
DB01268,EWSR1
DB02546,HDAC5
DB09075,F10
DB01182,ADRB2
DB00393,CFTR
DB15224,TUB
DB00599,GRIA2
DB00988,TP53
DB04983,P2RY2
DB00765,CYP2C9
DB00740,SCN7A
DB00909,CACNA1G
DB00606,GRIA4
DB09000,HTR2C
DB12116,BAZ2B
DB15317,BACE1
DB06730,PGR
DB00819,CA12
DB03685,RGS4
DB00471,ABCC1
DB00228,GABRB1
DB00678,UGT2B7
DB00273,CYP2C19
DB00734,ADRA1A
DB04703,CACNA1B
DB11186,EHMT2
DB04942,PML
DB00853,SLFN11
DB11806,RXRG
DB01536,KLK3
DB00595,BAZ2B
DB00330,CYP2C19
DB11889,GRIN2C
DB00565,CHRNA2
DB00401,CYP1A2
DB15588,PTPN1
DB00370,TPH2
DB00912,KCNJ1
DB01234,HYAL2
DB01234,THRSP
DB02057,CYP2C9
DB01138,EHMT2
DB06433,RRM2
DB00252,CYP19A1
DB05482,HDAC10
DB00811,FTO
DB01093,WT1
DB01008,THPO
DB07615,ATAD5
DB00363,HTR3A
DB11896,NOS3
DB01595,SCN1A
DB00975,PDE6H
DB00401,CACNA1A
DB00586,PTGS1
DB12897,CHRM1
DB00622,ADORA3
DB00415,HMGB1
DB12925,TUBB3
DB11757,ADORA1
DB01128,FST
DB01216,AR
