DRUGBANK_ID,pipe_genesymbol
DB00485,NR1I2
DB00331,ATM
DB00544,DKK1
DB00398,KIT
DB04849,FLT4
DB01645,ABL1
DB13266,GLS
DB00203,ABCC5
DB05039,ADRB2
DB05575,KDR
DB12402,HTR3D
DB03904,HNF4A
DB01619,HRH1
DB00091,UMOD
DB00754,SCN5A
DB14822,HCRTR1
DB14126,ABCC10
DB05076,MAPT
DB00829,GABRD
DB01254,EPHA2
DB00264,ADRB1
DB12180,PIK3C2G
DB00317,EGFR
DB08473,ATAD5
DB12518,DRD2
DB15954,CHRNA10
DB00277,ADORA2B
DB00616,ACE
DB05294,SRC
DB05076,DDIT3
DB12369,PIM3
DB11740,NEK2
DB00317,CAMK2D
DB08167,BLM
DB00252,SCN9A
DB05294,RET
DB09285,NFE2L2
DB11791,EGFR
DB00563,BAX
DB00544,NOS3
DB00433,ANKK1
DB14765,KDR
DB00883,GUCY1B2
DB01064,GFAP
DB06216,DRD2
DB13520,HTR2C
DB00471,CYSLTR1
DB02329,GJC3
DB16098,S100A12
DB06268,EDNRA
DB15406,FFAR2
DB08059,EIF2B1
DB00363,HTR2A
DB13174,NFE2L2
DB00176,SIGMAR1
DB06309,MAP2K2
DB01050,PTGS2
DB00860,LOH19CR1
DB14078,EHMT2
DB01028,GABRA3
DB06288,HTR2C
DB12733,GRM5
DB00381,ACE
DB00502,DRD3
DB12978,BRAF
DB14177,NFE2L2
DB01189,KCNK9
DB11896,PIK3R6
DB15492,DRD3
DB00665,AR
DB00934,SLC6A2
DB08437,TAC1
DB12685,PDE3A
DB09074,PIK3CA
DB14014,NR1D1
DB05087,GABRA5
DB01229,ERCC1
DB00441,DCTD
DB01092,GMNN
DB00324,PLA2G4A
DB04842,DRD2
DB06718,ESR1
DB00818,FAAH
DB12291,HDAC7
DB01403,CHRM1
DB01353,GABRA5
DB00606,GRIA2
DB00726,SLC6A3
DB00929,PTGIR
DB08865,NPM1
DB08828,SMO
DB00268,DRD2
DB01098,SLCO2B1
DB00388,ADRA1B
DB00564,CYP1A2
DB00989,ACHE
DB11901,AR
DB00477,HTR2A
DB00824,PDE4A
DB00975,PDE4D
DB07159,FRK
DB11466,IL4
DB00502,CYP3A5
DB00812,PTGIS
DB05553,P2RY12
DB00363,SLC1A1
DB05524,EGFR
DB05585,TUBA1A
DB00398,PDGFRB
DB06075,IGF1R
DB09076,CHRM4
DB11091,PTPRC
DB00231,GABRA6
DB00361,TUBA3E
DB00801,GABRR3
DB11986,ROS1
DB00812,PTGS2
DB00933,HTR1A
DB00162,PLAU
DB00318,OPRD1
DB00999,SLC12A3
DB00794,GABRA5
DB00628,GABRD
DB01236,MT-ND1
DB00993,TSHB
DB06637,KCNB2
DB11760,ERBB2
DB00810,HRH1
DB05075,FYN
DB00811,VIP
DB00546,GABRG1
DB00091,PPP3CA
DB00909,SCN1A
DB00237,CHRNA4
DB00441,ATRX
DB06623,KCNJ5
DB00795,MTHFR
DB08826,KDM4E
DB05928,FLT1
DB02638,AVPR1A
DB01177,POLH
DB00481,MAPT
DB08995,POLB
DB11829,PRKCG
DB00801,GABRR2
DB00530,DDR2
DB00877,TGM2
DB00690,GABRG1
DB12015,PIK3C2B
DB11896,PIK3C3
DB00997,CYP2D6
DB12703,AKT3
DB08883,GRIA2
DB00957,TRPC3
DB06151,SLC6A3
DB06263,TOP2A
DB00332,CYP3A4
DB06190,ADRB2
DB00624,USP9Y
DB00780,MAOB
DB13051,PIK3CA
DB00966,EHMT2
DB12278,CHRM5
DB00184,UGT1A4
DB09079,FRK
DB00999,YEATS4
DB11629,PTGIR
DB00960,GLA
DB08916,EGFR
DB00297,KCNA1
DB12404,GABRA1
DB00482,ALOX12
DB03044,KDR
DB00668,ADRA1B
DB11973,EGFR
DB12569,ADORA2A
DB00982,VDR
DB08881,RAC1
DB13326,BRCA1
DB01590,TSC2
DB00661,KCNA10
DB13174,MAPT
DB11969,AKT3
DB06594,ABCB1
DB01125,F2
DB01006,CYP19A1
DB00928,AR
DB12216,CYP2D6
DB06707,HIF1A
DB11859,GABRD
DB08875,RET
DB00310,ACE
DB04948,ADRA2A
DB01234,PYGL
DB06195,CDK9
DB06654,SCN5A
DB01204,MBNL1
DB02812,TPSAB1
DB00917,PTGER3
DB00742,PRL
DB00801,GABRA3
DB01088,PTGER1
DB00396,NR1I2
DB04690,MAPK9
DB00909,HLA-A
DB01177,DCK
DB01101,DPYD
DB02375,CYP2C19
DB00245,SLC6A3
DB01016,ABCC8
DB06016,DRD2
DB11828,EGFR
DB00962,GABRG2
DB01234,CCL17
DB00262,CYP2C19
DB00633,ADRA2A
DB01259,EGFR
DB06174,HIF1A
DB05219,PDE4B
DB03600,TSHR
DB09241,BAZ2B
DB01645,CYP2C19
DB11581,IDH1
DB01068,GABRR3
DB05015,UGT1A1
DB00831,CAMK2B
DB11396,AR
DB14141,EHMT2
DB00331,AMHR2
DB01195,KCNA5
DB06448,FNTB
DB00441,ERCC1
DB00920,HRH1
DB00333,UGT2B7
DB00317,KRAS
DB01536,RORC
DB00745,CYP2C9
DB00850,MTOR
DB00694,UGT1A6
DB01198,TSPO
DB00184,CHRNB2
DB12015,PIK3CB
DB13399,ADRA2B
DB12254,UGT1A4
DB01205,GABRA2
DB00451,THRB
DB01950,RPS6KB1
DB12452,GJB3
DB04815,EHMT2
DB00898,MTHFR
DB12543,OPRM1
DB16061,CDK2
DB00857,HLA-A
DB00231,GABRA4
DB00990,ESR1
DB00651,PDE7B
DB14989,CSNK1E
DB00753,GABRA1
DB00812,PTGS1
DB01195,SCN5A
DB04014,MST1R
DB00277,ADORA2A
DB12690,RPS6KB1
DB00665,NFE2L2
DB01229,BIRC5
DB01236,KCNK2
DB15954,GLRA1
DB12591,JAK2
DB00433,MCL1
DB01558,GABRR1
DB05540,ADSS2
DB14969,ESR1
DB01038,DRD2
DB01248,FBXW7
DB00675,ESR1
DB06510,EDN1
DB05076,BCL6
DB00283,CYP2C9
DB00763,BGLAP
DB12392,HDAC5
DB09118,GABRG3
DB12369,MAP4K4
DB00328,PTGDR2
DB01101,SLC22A7
DB04947,SLC6A3
DB05928,CSF1R
DB04149,CREBBP
DB06075,PIK3CA
DB00887,KDM4E
DB00793,AR
DB00745,CYP2D6
DB00728,CHRM2
DB06077,DRD2
DB08437,PTH
DB00829,SLC2A1
DB04854,UGT1A6
DB01101,TYMS
DB15784,ADRB2
DB12483,PIK3C2B
DB06201,SCN1A
DB12241,MAP2K1
DB01098,SLCO1B1
DB15581,NR3C1
DB00441,CIP2A
DB08918,SLC6A4
DB00801,GABRG2
DB01253,DRD2
DB06589,AURKB
DB01204,SMAD3
DB11653,MC4R
DB00988,DRD4
DB12500,TYK2
DB00441,SERPINA5
DB00310,SLC12A1
DB12369,GSK3B
DB00818,CYP2C9
DB00696,HTR1D
DB00458,EHMT2
DB15579,RAPGEF3
DB00421,ACE
DB00897,GABRA4
DB12966,EGFR
DB00661,IL1B
DB04905,CYP3A5
DB00250,GNRH1
DB00398,LYN
DB00724,TLR7
DB06802,PTGS2
DB00398,MKNK2
DB04816,EHMT2
DB00224,CYP2C19
DB06486,PRKCA
DB11845,FGFR1
DB01115,CCND1
DB05465,KIT
DB08910,CRBN
DB14010,HTR1E
DB00769,NR3C1
DB00501,SLC22A2
DB00897,GABRQ
DB00531,NAT2
DB00188,PSMC2
DB00777,DRD4
DB13691,CTNNBL1
DB00774,SLC12A1
DB00401,GMNN
DB00398,RAF1
DB12371,S1PR5
DB01179,TUBB3
DB08901,CDK8
DB06589,MTOR
DB08324,CHUK
DB00706,CYP2D6
DB05294,FLT4
DB12184,HTR1A
DB12369,LTK
DB04946,DRD2
DB08881,BRAF
DB00907,OPRK1
DB00091,CYP2C9
DB12391,TUBB3
DB05239,MAP2K2
DB14904,BRAF
DB01254,KDR
DB05015,HDAC3
DB05220,AURKA
DB00736,CYP2C19
DB00677,ACHE
DB13237,IDH1
DB12307,KDR
DB00655,AR
DB00175,SLCO1B1
DB12482,ACHE
DB05710,CHRNA2
DB08901,BCR
DB05541,SV2A
DB11724,GRPR
DB05482,UGT1A9
DB01033,GATA3
DB00668,ADRB3
DB13174,POLI
