KDM5D,8.063156242330798
TSPY2,14.062786825368317
TSPY1,14.02182105079377
PRY2,6.247451340549332
CDY1B,8.06970800005487
RBMY1E,5.0272088289792105
TMSB4Y,2.734148494968609
CDY2B,3.5366155362363583
XKRY2,1.8050547073248422
RBMY1J,3.5492305413008944
MOB4,0.5248914421667058
IFT172,0.5409097702874853
MS4A10,0.48016911326824396
MGP,-0.48924628434969336
INTS9,0.3763114531795036
RHD,0.4201161796305946
MDC1,0.3457198848298195
IL17F,0.35538560365724886
TOR1A,0.30602060126589975
METTL21C,0.3388885043621359
MTX3,0.43340339078174117
NIF3L1,0.3022289614290957
CEP85,0.3515108557940917
UTY,0.5872481444587019
STAT2,0.3237208701409021
SNX1,0.24325432441067954
EIF1AY,0.9577473038058149
NRAP,0.42744220609621164
YIPF1,0.25735723868292365
PCNX2,0.3075808363995479
MLH3,0.2775278853591763
BTNL8,0.7079376029710824
EFCAB11,0.3521668786764662
ROBO1,0.3766214461119889
NIPSNAP2,0.29090251547893
LYN,0.3045481918728819
MED4,0.26922380147552827
C1orf174,0.2580417587896811
LRTOMT,0.36960251867004296
MAP4K3,0.3958074638783352
TMEM138,0.3083981487043715
SPATS2,0.3133973040068691
UTS2,0.31869372443884686
FAM9A,-0.3312280489895011
SLC7A7,0.31982376722460765
OR5AK2,0.4676564268078841
KEL,0.3041349205025256
PRC1,0.4571975284954206
C16orf78,0.400683347307719
NUP160,0.4343038710220169
PRMT8,0.32307508473469987
DAZ4,0.5704385175966439
CASS4,0.303261931091891
NLRP2,0.25545270894967675
FNDC1,0.3681276551441775
INO80B,0.3096294409972617
NFKB1,0.2682909200641303
C17orf58,0.27128552930512406
SLAMF9,0.3188917968931229
GCKR,0.4360434262697561
TMEM87B,0.34522108610392194
GTF2IRD2B,0.33414042176478786
PTHLH,0.29241866288854224
NLRP1,0.3192598777794982
NPC1,0.25519736730044823
JCHAIN,0.42549925455854143
PLBD1,0.2448149398823214
TP53INP2,0.3059853836247577
PARD6G,0.302587534095281
COPS9,0.2143147084229117
OR5A1,0.32534498972306447
EXOSC2,0.32310430831313003
GSE1,0.36046094988389565
GSTK1,0.262089226702975
GHRL,0.2844948260291013
PIGS,0.26543757422383063
DDX60,0.484611739029205
MUCL3,0.31282959998979964
ARMC3,0.3036126370401223
ZNF143,0.36037800019906463
DDX3Y,0.6025787895296296
C19orf18,0.3492151500097743
ZNF174,0.2849953171962054
MAGOHB,0.4332858220443829
MARVELD2,0.2925637960781609
ATG14,0.29408361541590844
TEKT5,0.3043088677447549
GAD2,0.2863409776266933
ANGPTL2,0.23552940666563615
LILRA5,0.3764492888196902
CBL,0.2033359193831707
DEFA5,0.22227085640937785
DET1,0.33384367199364257
RRP36,0.2921659118352288
HTRA2,0.34518469352294184
TUBGCP5,0.32585657489860737
MINDY1,0.280086864960629
TRMT61B,0.2031860513388513
SLC6A20,0.2362720426274674
PLEKHH2,0.3086544796575463
ERLIN2,0.20279604471617932
SDHA,0.25333683168361937
LMAN2L,0.2645663057419211
KCNA4,0.23667252666914199
CLEC17A,0.33090439935384575
WDR77,0.2445806865120955
FAM219B,0.2712248320569627
BNIPL,0.32225217250939925
USP39,0.32248712529450807
DQX1,0.3408944918339667
VRK2,0.29645293394733485
ARHGAP9,0.2935022083888303
CMA1,0.3002815678277229
USP9Y,0.5633606966607082
GML,0.2469032408760543
ARHGEF37,0.20925194777879214
GATAD2B,0.3547622140475894
ENTPD7,0.25559945263409156
TMEM18,0.2787496021101497
ATR,0.39343603329801896
NFATC2,0.377633458034844
CAMK1D,0.26471401572321357
IL37,0.3428227004421313
ADIPOR1,0.2854776143735262
NUP98,0.21767991552357652
ZSCAN21,0.22943110246898232
SCGB2A1,0.2904362266198833
ZNF34,0.30252415422293055
PITPNC1,0.20617195010370457
MYOC,0.281467399505575
TMEM131L,0.2778849596639731
SLC6A16,0.24467560447396902
NCMAP,0.25138112042574967
CARD11,0.3674941877224591
DHDDS,0.24465385819280683
GID4,0.29751590192554134
CCNB1,0.27021687858099397
CDCA8,0.34906886186531616
SOWAHB,0.25133807420055443
CUTC,0.23466661858918197
PRKAG1,0.2664574085499815
OR51M1,0.3754870319832098
HSFY2,0.5361368558146605
SIGLEC6,0.394098531038792
CARD8,0.31920059316534377
MOG,0.2666932632121762
SWT1,0.24839186262889293
RPS4Y1,0.553809698684647
SHROOM3,0.22196066590880492
ANO4,0.4166318103923599
TIGD7,0.3471119128271602
IQCD,0.3476866892170918
CORO1C,0.24854818185522445
TIMD4,0.3142953803250146
TMEM174,0.2605277323613158
NOD2,0.3392037621870341
FPR2,0.3172572597103362
SDF2,0.2551559315700492
OR4D6,0.27264873032464937
FGFR2,0.2302527539069282
SLCO3A1,0.2218363173048845
HMGCL,0.2540519051773673
MFRP,0.28670072535285174
RBP7,0.2774910188325847
MYO19,0.2923146755402593
MLH1,0.3569447519939678
FCAMR,0.23879796567287498
PRG2,0.2831857744460375
HARBI1,0.2790860850886238
POLB,0.251199856935732
CCDC142,0.25057438677103017
LBP,0.2601290566752267
TTC31,0.24460152171334446
GOLPH3,0.23575047238418811
CCHCR1,0.23987597107106415
TMEM163,0.22533513105384098
BNIP5,0.3191954487848234
CWC25,0.284074293627921
PMFBP1,0.26583290928357106
SERTM1,0.3566365216956325
BCS1L,0.29448182175779986
GALM,0.19983649824760538
CERS5,0.2590767041584339
CCBE1,0.2502759804909516
HEATR6,0.3489664574033472
PRORP,0.2663808502287845
TCFL5,0.22122711773903783
C2CD3,0.26384161989494676
MLX,0.3184309607093147
